c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208
1.721903600252734e+18,0.0,0.0,2.0,7.0,9.0,81.0,64.0,148.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,52.0,60.0,77.0,113.0,98.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,60.0,57.0,85.0,49.0,102.0,67.0,41.0,0.0,0.0,0.0,0.0,2.0,39.0,68.0,63.0,61.0,52.0,118.0,79.0,19.0,0.0,0.0,0.0,1.0,17.0,55.0,57.0,98.0,67.0,80.0,66.0,22.0,3.0,0.0,0.0,0.0,3.0,53.0,115.0,69.0,47.0,13.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,14.0,66.0,102.0,60.0,28.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,51.0,52.0,46.0,29.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,61.0,54.0,32.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,65.0,80.0,49.0,23.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,77.0,111.0,73.0,42.0,20.0,8.0,4.0,4.0,2.0,5.0,1.0,1.0,0.0,73.0,57.0,70.0,42.0,31.0,29.0,22.0,29.0,18.0,52.0,17.0,9.0,3.0,27.0,36.0,43.0,50.0,73.0,62.0,34.0,38.0,21.0,40.0,22.0,28.0,9.0,7.0,9.0,11.0,15.0,35.0,40.0,59.0,68.0,16.0,39.0,17.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,10.0,1.0,1.0
1.721903600300635e+18,0.0,0.0,2.0,7.0,9.0,82.0,64.0,148.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,53.0,61.0,76.0,113.0,98.0,4.0,0.0,0.0,0.0,0.0,1.0,50.0,61.0,57.0,85.0,49.0,101.0,66.0,40.0,0.0,0.0,0.0,0.0,2.0,39.0,69.0,63.0,62.0,52.0,117.0,78.0,18.0,0.0,0.0,0.0,1.0,18.0,55.0,58.0,99.0,67.0,80.0,65.0,20.0,3.0,0.0,0.0,0.0,3.0,53.0,116.0,68.0,41.0,13.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,15.0,66.0,97.0,59.0,26.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,52.0,52.0,45.0,27.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,59.0,53.0,31.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,63.0,80.0,47.0,23.0,12.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,78.0,111.0,71.0,38.0,20.0,9.0,5.0,4.0,2.0,6.0,1.0,1.0,0.0,72.0,56.0,69.0,42.0,29.0,28.0,23.0,28.0,19.0,55.0,15.0,9.0,2.0,27.0,36.0,43.0,50.0,70.0,58.0,33.0,38.0,21.0,43.0,22.0,28.0,10.0,7.0,9.0,12.0,16.0,34.0,37.0,58.0,68.0,14.0,42.0,16.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,13.0,2.0,2.0
1.721903600348735e+18,0.0,0.0,2.0,7.0,10.0,81.0,65.0,147.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,53.0,61.0,75.0,111.0,97.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,57.0,86.0,48.0,101.0,65.0,38.0,0.0,0.0,0.0,0.0,2.0,40.0,69.0,63.0,62.0,52.0,117.0,78.0,16.0,0.0,0.0,0.0,1.0,18.0,55.0,59.0,99.0,68.0,80.0,62.0,18.0,3.0,0.0,0.0,0.0,3.0,51.0,117.0,66.0,35.0,13.0,13.0,7.0,3.0,1.0,0.0,0.0,0.0,15.0,64.0,91.0,61.0,22.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,52.0,52.0,39.0,25.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,58.0,51.0,30.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,63.0,78.0,46.0,20.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,76.0,112.0,69.0,36.0,21.0,9.0,5.0,4.0,2.0,5.0,1.0,1.0,0.0,71.0,57.0,70.0,42.0,29.0,28.0,23.0,28.0,18.0,54.0,16.0,9.0,2.0,28.0,37.0,44.0,50.0,70.0,55.0,33.0,38.0,21.0,42.0,23.0,28.0,9.0,7.0,10.0,12.0,16.0,32.0,36.0,57.0,64.0,13.0,39.0,17.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,9.0,1.0,1.0
1.721903600396715e+18,0.0,0.0,2.0,7.0,10.0,79.0,66.0,147.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,53.0,61.0,74.0,111.0,95.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,64.0,57.0,87.0,48.0,101.0,64.0,35.0,0.0,0.0,0.0,0.0,2.0,39.0,69.0,64.0,62.0,51.0,117.0,77.0,15.0,0.0,0.0,0.0,1.0,18.0,55.0,59.0,99.0,69.0,80.0,58.0,16.0,2.0,0.0,0.0,0.0,3.0,46.0,117.0,57.0,28.0,11.0,13.0,6.0,3.0,1.0,0.0,0.0,0.0,16.0,60.0,79.0,53.0,20.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,51.0,48.0,32.0,20.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,50.0,48.0,26.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,63.0,75.0,41.0,20.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,75.0,109.0,66.0,36.0,20.0,9.0,4.0,4.0,2.0,6.0,2.0,1.0,0.0,71.0,56.0,69.0,41.0,29.0,27.0,21.0,29.0,17.0,55.0,17.0,10.0,2.0,26.0,35.0,44.0,52.0,69.0,54.0,32.0,39.0,21.0,44.0,24.0,29.0,10.0,7.0,10.0,12.0,16.0,29.0,36.0,51.0,58.0,14.0,41.0,18.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,11.0,1.0,1.0
1.721903600444942e+18,0.0,0.0,2.0,8.0,11.0,76.0,66.0,146.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,52.0,62.0,71.0,107.0,93.0,4.0,0.0,0.0,0.0,0.0,0.0,53.0,66.0,56.0,89.0,48.0,100.0,62.0,30.0,0.0,0.0,0.0,0.0,2.0,39.0,70.0,64.0,62.0,51.0,116.0,76.0,12.0,0.0,0.0,0.0,1.0,18.0,57.0,59.0,98.0,70.0,77.0,51.0,15.0,2.0,0.0,0.0,0.0,3.0,38.0,117.0,45.0,20.0,10.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,16.0,49.0,64.0,42.0,14.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,47.0,42.0,25.0,18.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,40.0,23.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,58.0,71.0,34.0,18.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,76.0,105.0,64.0,34.0,17.0,10.0,5.0,4.0,2.0,7.0,2.0,1.0,0.0,71.0,55.0,69.0,41.0,27.0,25.0,21.0,26.0,17.0,56.0,19.0,11.0,3.0,27.0,33.0,44.0,50.0,68.0,48.0,30.0,40.0,19.0,44.0,24.0,32.0,11.0,8.0,10.0,12.0,14.0,30.0,29.0,44.0,56.0,12.0,41.0,18.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,1.0,1.0
1.721903600492735e+18,0.0,0.0,2.0,8.0,12.0,70.0,66.0,143.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,51.0,61.0,70.0,104.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,69.0,57.0,89.0,48.0,99.0,56.0,25.0,0.0,0.0,0.0,0.0,2.0,38.0,70.0,64.0,64.0,52.0,114.0,73.0,9.0,0.0,0.0,0.0,1.0,18.0,59.0,61.0,94.0,68.0,74.0,44.0,13.0,2.0,0.0,0.0,0.0,3.0,27.0,106.0,34.0,19.0,10.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0,36.0,49.0,38.0,11.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,34.0,23.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,25.0,20.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,54.0,29.0,20.0,7.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,45.0,81.0,51.0,33.0,18.0,12.0,7.0,7.0,4.0,11.0,5.0,3.0,1.0,70.0,56.0,69.0,40.0,25.0,26.0,20.0,26.0,15.0,42.0,19.0,13.0,6.0,21.0,27.0,35.0,45.0,62.0,41.0,35.0,42.0,23.0,46.0,29.0,32.0,13.0,7.0,9.0,11.0,14.0,26.0,26.0,37.0,53.0,12.0,38.0,20.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,10.0,1.0,1.0
1.721903600540714e+18,0.0,0.0,2.0,8.0,12.0,65.0,64.0,135.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,49.0,60.0,65.0,100.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,72.0,57.0,89.0,48.0,100.0,51.0,20.0,0.0,0.0,0.0,0.0,2.0,36.0,70.0,64.0,64.0,52.0,112.0,71.0,9.0,0.0,0.0,0.0,1.0,16.0,62.0,61.0,83.0,64.0,67.0,41.0,12.0,2.0,0.0,0.0,0.0,2.0,13.0,85.0,26.0,20.0,8.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,20.0,36.0,26.0,9.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,26.0,27.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,21.0,15.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,43.0,21.0,16.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,51.0,93.0,48.0,30.0,13.0,9.0,5.0,5.0,4.0,9.0,4.0,2.0,1.0,48.0,49.0,55.0,40.0,29.0,30.0,21.0,30.0,22.0,58.0,25.0,12.0,5.0,20.0,24.0,37.0,49.0,60.0,45.0,31.0,42.0,23.0,44.0,31.0,30.0,14.0,6.0,8.0,11.0,14.0,21.0,22.0,31.0,47.0,11.0,39.0,22.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,10.0,1.0,2.0
1.721903600588745e+18,0.0,0.0,2.0,8.0,13.0,56.0,64.0,129.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,46.0,57.0,64.0,94.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,75.0,55.0,88.0,48.0,98.0,45.0,15.0,0.0,0.0,0.0,0.0,2.0,33.0,71.0,63.0,64.0,52.0,111.0,67.0,7.0,0.0,0.0,0.0,1.0,15.0,61.0,60.0,73.0,60.0,60.0,36.0,14.0,2.0,0.0,0.0,0.0,2.0,10.0,57.0,16.0,10.0,5.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,15.0,26.0,16.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,14.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,13.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,35.0,17.0,13.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,50.0,88.0,43.0,25.0,11.0,8.0,5.0,5.0,3.0,8.0,4.0,2.0,1.0,48.0,46.0,55.0,38.0,30.0,27.0,21.0,31.0,19.0,59.0,25.0,13.0,6.0,19.0,23.0,35.0,45.0,60.0,41.0,29.0,40.0,23.0,43.0,29.0,34.0,16.0,6.0,7.0,10.0,13.0,17.0,19.0,24.0,47.0,10.0,36.0,22.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,12.0,1.0,2.0
1.721903600636611e+18,0.0,0.0,3.0,8.0,13.0,42.0,61.0,111.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,41.0,54.0,56.0,80.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,78.0,51.0,85.0,48.0,95.0,43.0,11.0,0.0,0.0,0.0,0.0,2.0,34.0,74.0,59.0,61.0,54.0,106.0,62.0,5.0,0.0,0.0,0.0,2.0,12.0,55.0,58.0,62.0,54.0,53.0,32.0,18.0,2.0,0.0,0.0,0.0,2.0,7.0,32.0,10.0,9.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,12.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,27.0,17.0,10.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,47.0,79.0,37.0,23.0,9.0,9.0,5.0,5.0,4.0,10.0,5.0,3.0,1.0,44.0,44.0,48.0,37.0,26.0,27.0,20.0,29.0,20.0,63.0,26.0,16.0,7.0,18.0,20.0,30.0,45.0,55.0,43.0,28.0,36.0,22.0,43.0,32.0,37.0,16.0,5.0,5.0,8.0,12.0,14.0,16.0,17.0,38.0,11.0,35.0,22.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,10.0,2.0,2.0
1.721903600684692e+18,0.0,0.0,3.0,8.0,12.0,34.0,56.0,91.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,32.0,49.0,53.0,69.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,80.0,44.0,81.0,45.0,93.0,44.0,10.0,0.0,0.0,0.0,0.0,2.0,33.0,74.0,53.0,61.0,51.0,101.0,60.0,6.0,0.0,0.0,0.0,3.0,10.0,48.0,55.0,54.0,48.0,46.0,29.0,18.0,3.0,0.0,0.0,0.0,2.0,7.0,18.0,10.0,6.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,14.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,43.0,73.0,34.0,20.0,7.0,10.0,5.0,5.0,4.0,11.0,5.0,3.0,2.0,42.0,42.0,43.0,37.0,22.0,23.0,21.0,27.0,20.0,69.0,27.0,17.0,9.0,16.0,17.0,28.0,38.0,52.0,44.0,26.0,35.0,21.0,45.0,32.0,40.0,20.0,5.0,5.0,7.0,10.0,11.0,12.0,13.0,33.0,10.0,32.0,22.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,1.0
1.721903600732678e+18,0.0,0.0,4.0,9.0,10.0,28.0,50.0,68.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,25.0,44.0,50.0,62.0,105.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,82.0,38.0,80.0,44.0,90.0,43.0,7.0,0.0,0.0,0.0,0.0,2.0,32.0,76.0,46.0,61.0,47.0,96.0,57.0,5.0,0.0,0.0,0.0,3.0,10.0,45.0,53.0,46.0,44.0,35.0,28.0,20.0,3.0,0.0,0.0,0.0,1.0,4.0,8.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,12.0,5.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,32.0,57.0,30.0,16.0,6.0,8.0,5.0,5.0,4.0,10.0,5.0,4.0,2.0,37.0,40.0,43.0,32.0,22.0,25.0,19.0,27.0,19.0,64.0,31.0,20.0,11.0,14.0,17.0,27.0,38.0,44.0,37.0,28.0,32.0,20.0,48.0,34.0,44.0,21.0,4.0,5.0,7.0,9.0,10.0,9.0,12.0,27.0,10.0,34.0,21.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,1.0,2.0
1.721903600780556e+18,0.0,0.0,4.0,9.0,8.0,25.0,43.0,50.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,21.0,42.0,45.0,46.0,105.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0,79.0,29.0,75.0,44.0,86.0,44.0,6.0,0.0,0.0,0.0,0.0,3.0,30.0,72.0,42.0,55.0,44.0,92.0,63.0,5.0,0.0,0.0,0.0,2.0,10.0,35.0,47.0,37.0,36.0,26.0,26.0,23.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,44.0,25.0,14.0,5.0,7.0,4.0,4.0,3.0,9.0,4.0,4.0,2.0,32.0,37.0,38.0,29.0,21.0,22.0,19.0,25.0,20.0,69.0,32.0,22.0,12.0,14.0,17.0,21.0,33.0,45.0,32.0,25.0,31.0,20.0,47.0,36.0,47.0,23.0,3.0,4.0,5.0,6.0,8.0,7.0,7.0,20.0,9.0,30.0,21.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,2.0
1.721903600828629e+18,0.0,0.0,5.0,9.0,7.0,22.0,34.0,34.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,17.0,40.0,42.0,38.0,102.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,73.0,26.0,72.0,45.0,75.0,48.0,4.0,0.0,0.0,0.0,0.0,4.0,29.0,66.0,40.0,54.0,42.0,84.0,64.0,5.0,0.0,0.0,0.0,1.0,9.0,27.0,36.0,29.0,30.0,24.0,25.0,26.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,34.0,22.0,10.0,5.0,6.0,4.0,5.0,4.0,10.0,5.0,4.0,2.0,26.0,32.0,37.0,26.0,19.0,20.0,18.0,27.0,20.0,70.0,32.0,22.0,12.0,11.0,15.0,22.0,33.0,41.0,31.0,23.0,32.0,21.0,47.0,37.0,47.0,22.0,2.0,3.0,4.0,6.0,7.0,6.0,5.0,15.0,8.0,29.0,19.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,2.0,3.0
1.721903600877284e+18,0.0,0.0,4.0,8.0,6.0,18.0,27.0,24.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,36.0,40.0,30.0,98.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,70.0,22.0,67.0,42.0,63.0,51.0,4.0,0.0,0.0,0.0,0.0,5.0,25.0,53.0,35.0,52.0,42.0,78.0,62.0,5.0,0.0,0.0,0.0,1.0,6.0,17.0,24.0,21.0,24.0,17.0,24.0,28.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,18.0,10.0,5.0,7.0,4.0,5.0,4.0,11.0,6.0,4.0,2.0,22.0,29.0,33.0,22.0,17.0,20.0,15.0,28.0,21.0,71.0,33.0,22.0,11.0,12.0,15.0,19.0,32.0,38.0,31.0,22.0,30.0,21.0,44.0,40.0,47.0,23.0,2.0,3.0,4.0,5.0,6.0,6.0,5.0,10.0,8.0,23.0,20.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,12.0,2.0,2.0
1.721903600924696e+18,0.0,0.0,4.0,8.0,4.0,16.0,21.0,11.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,19.0,10.0,33.0,30.0,22.0,79.0,3.0,0.0,0.0,0.0,0.0,2.0,26.0,57.0,18.0,56.0,31.0,50.0,54.0,7.0,0.0,0.0,0.0,1.0,5.0,23.0,42.0,27.0,48.0,29.0,68.0,58.0,9.0,0.0,0.0,0.0,1.0,6.0,11.0,15.0,9.0,15.0,10.0,24.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,19.0,10.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,22.0,29.0,28.0,21.0,17.0,18.0,15.0,22.0,17.0,63.0,24.0,18.0,11.0,11.0,18.0,17.0,23.0,27.0,22.0,19.0,21.0,18.0,40.0,29.0,37.0,19.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,15.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0
